


User 12%, System 0%, IOW 0%, IRQ 0%
User 38 + Nice 1 + Sys 2 + Idle 259 + IOW 0 + IRQ 0 + SIRQ 2 = 302

PID PR CPU% S  #THR     VSS     RSS PCY UID      Name
802  0  12% S     8  24324K  10128K  fg system   /system/bin/surfaceflinger
1344  0   0% S    12 224624K  32452K  bg u0_a10   android.process.acore
858  0   0% S     6   5672K    372K  fg root     /sbin/adbd
4  0   0% S     1      0K      0K  fg root     events/0
5  0   0% S     1      0K      0K  fg root     khelper
11  0   0% S     1      0K      0K  fg root     suspend
161  0   0% S     1      0K      0K  fg root     kblockd/0
165  0   0% S     1      0K      0K  fg root     cqueue
172  0   0% S     1      0K      0K  fg root     ata/0
173  0   0% S     1      0K      0K  fg root     ata_aux
175  0   0% S     1      0K      0K  fg root     ksuspend_usbd
180  0   0% S     1      0K      0K  fg root     khubd
183  0   0% S     1      0K      0K  fg root     kseriod
188  0   0% S     1      0K      0K  fg root     kmmcd
243  0   0% S     1      0K      0K  fg root     pdflush
244  0   0% S     1      0K      0K  fg root     pdflush
245  0   0% S     1      0K      0K  fg root     kswapd0
300  0   0% S     1      0K      0K  fg root     aio/0
481  0   0% S     1      0K      0K  fg root     iscsi_eh
493  0   0% S     1      0K      0K  fg root     mtdblockd
494  0   0% S     1      0K      0K  fg root     nftld
530  0   0% S     1      0K      0K  fg root     kstriped
533  0   0% S     1      0K      0K  fg root     kondemand/0
539  0   0% S     1      0K      0K  fg root     hid_compat
1  0   0% S     1    404K    284K  fg root     /init
769  0   0% S     1      0K      0K  fg root     mmcqd
787  0   0% S     1   1260K    384K  fg system   /system/bin/servicemanager
789  0   0% S     3   5440K   1040K  fg root     /system/bin/vold
793  0   0% S     8  11400K   1564K  fg root     /system/bin/netd
796  0   0% S     1   1412K    468K  fg root     /system/bin/debuggerd
797  0   0% S     4   6288K   1028K  fg radio    /system/bin/rild
805  0   0% S     4 196496K  36388K  fg root     zygote
814  0   0% S     2   9752K   2884K  fg drm      /system/bin/drmserver
818  0   0% S     5  38724K   8232K  fg media    /system/bin/mediaserver
819  0   0% S     1   1344K    548K  fg install  /system/bin/installd
820  0   0% S     1   3140K   1020K  fg keystore /system/bin/keystore
834  0   0% S     1   1312K    468K  fg root     /system/bin/qemud
857  0   0% S     1   1340K    660K  fg shell    /system/bin/sh
1124  0   0% S    77 290060K  47224K  fg system   system_server
1274  0   0% S    13 213056K  39880K  fg u0_a33   com.android.systemui
1299  0   0% S    24 221280K  22272K  bg u0_a24   android.process.media
1364  0   0% S     9 205816K  21268K  fg u0_a18   com.android.inputmethod.latin
1383  0   0% S     9 202764K  17252K  bg u0_a5    com.android.location.fused
1398  0   0% S    17 219616K  19572K  fg system   com.android.settings
1429  0   0% S    20 219024K  26780K  fg radio    com.android.phone
1441  0   0% S    11 218492K  35920K  bg u0_a2    com.android.launcher
1481  0   0% S    10 204700K  18860K  bg u0_a25   com.android.music
1494  0   0% S    12 211140K  19700K  bg u0_a10   com.android.contacts
1522  0   0% S    12 208348K  21120K  bg u0_a15   com.android.mms
1546  0   0% S    11 207152K  21256K  fg u0_a22   com.android.deskclock
1564  0   0% S    12 209020K  18572K  bg u0_a37   com.android.exchange
1579  0   0% S    10 206232K  20188K  bg u0_a38   com.android.providers.calendar
1616  0   0% S    15 211496K  20196K  bg u0_a27   com.android.calendar
1709  0   0% S     1   1144K    508K  fg root     logcat
1727  0   0% S    10 203796K  17528K  fg u0_a29   com.android.defcontainer
1760  0   0% S     9 202752K  16804K  fg u0_a19   com.svox.pico
1773  0   0% S    10 206196K  18384K  fg u0_a26   com.android.quicksearchbox
1859  0   0% S    14 220824K  28964K  fg u0_a47   io.selendroid.testapp

